Geneid 	 Lymph_1 	 Lymph_2 	 Myelo_1 	 Myelo_2
PEX10 	 171 	 217 	 109 	 151
PLCH2 	 0 	 1 	 2 	 2
PANK4 	 0 	 0 	 0 	 0
HES5 	 0 	 0 	 0 	 0
TNFRSF14-AS1 	 0 	 0 	 0 	 0
TNFRSF14 	 0 	 0 	 0 	 0
LOC100996583 	 0 	 0 	 0 	 0
PRXL2B 	 0 	 0 	 0 	 0
MMEL1 	 0 	 0 	 0 	 0
MMEL1-AS1 	 0 	 0 	 0 	 0
TTC34 	 2 	 21 	 0 	 5
LOC105378602 	 0 	 0 	 0 	 0
LOC105378601 	 0 	 0 	 0 	 0
LOC112268220 	 0 	 0 	 0 	 0
LOC107985732 	 0 	 0 	 0 	 0
LOC105378600 	 0 	 0 	 0 	 0
LOC105378598 	 0 	 0 	 0 	 0
LOC107984904 	 0 	 0 	 0 	 0
LOC105378599 	 0 	 0 	 0 	 0
LOC124903825 	 1 	 0 	 0 	 0
LOC124903826 	 0 	 0 	 0 	 0
ACTRT2 	 0 	 0 	 0 	 0
LOC124903827 	 0 	 0 	 0 	 0
PRDM16-DT 	 0 	 0 	 0 	 0
PRDM16 	 2 	 1 	 1 	 1
MIR4251 	 0 	 0 	 0 	 0
LOC105378606 	 0 	 0 	 0 	 0
LOC107984909 	 0 	 0 	 0 	 0
LOC105378605 	 0 	 0 	 0 	 0
LOC124903828 	 0 	 2 	 0 	 0
LOC105378604 	 0 	 0 	 0 	 0
ARHGEF16 	 11 	 25 	 0 	 1
MEGF6 	 2429 	 5357 	 411 	 1554
LOC105378608 	 2 	 5 	 0 	 0
MIR551A 	 0 	 1 	 0 	 0
TPRG1L 	 517 	 378 	 722 	 616
WRAP73 	 547 	 253 	 369 	 390
TP73 	 1183 	 35 	 85 	 32
TP73-AS3 	 10 	 3 	 4 	 2
TP73-AS1 	 780 	 821 	 417 	 916
CCDC27 	 1 	 0 	 0 	 1
SMIM1 	 17 	 6 	 2 	 40
LRRC47 	 816 	 667 	 542 	 864
CEP104 	 677 	 641 	 550 	 727
LOC124903829 	 10 	 21 	 14 	 14
DFFB 	 226 	 167 	 184 	 268
C1orf174 	 381 	 270 	 254 	 343
LINC01134 	 8 	 9 	 10 	 12
LINC01346 	 0 	 0 	 0 	 0
LINC01345 	 0 	 0 	 0 	 0
LINC01777 	 0 	 0 	 0 	 0
LOC105376674 	 0 	 0 	 0 	 0
LOC124904578 	 0 	 0 	 0 	 0
LINC01646 	 0 	 0 	 0 	 0
AJAP1 	 0 	 0 	 1 	 2
LINC02781 	 0 	 0 	 0 	 0
LOC124904589 	 0 	 0 	 0 	 0
LOC102724429 	 0 	 0 	 0 	 0
LINC02782 	 0 	 0 	 0 	 0
LOC105376682 	 0 	 0 	 0 	 0
LOC124904590 	 0 	 0 	 0 	 0
LOC107984911 	 0 	 0 	 0 	 0
LOC105376686 	 0 	 0 	 0 	 0
LOC124900451 	 0 	 0 	 0 	 1
LOC124903830 	 23 	 0 	 0 	 0
MIR4689 	 0 	 0 	 0 	 0
NPHP4 	 1414 	 392 	 523 	 713
KCNAB2 	 1669 	 1410 	 2752 	 3282
LOC124903831 	 3 	 4 	 11 	 10
CHD5 	 3 	 14 	 26 	 6
RPL22 	 1078 	 1311 	 448 	 927
RNF207-AS1 	 1 	 0 	 0 	 0
RNF207 	 9 	 4 	 8 	 18
ICMT 	 1401 	 333 	 797 	 831
ICMT-DT 	 2 	 0 	 0 	 0
HES3 	 0 	 0 	 0 	 0
GPR153 	 68 	 60 	 27 	 28
ACOT7 	 408 	 113 	 319 	 145
HES2 	 0 	 0 	 0 	 0
ESPN 	 21 	 96 	 4 	 78
MIR4252 	 0 	 0 	 0 	 0
TNFRSF25 	 18 	 17 	 80 	 53
PLEKHG5 	 16 	 10 	 4 	 9
NOL9 	 584 	 437 	 286 	 373
TAS1R1 	 0 	 2 	 2 	 1
LOC107984912 	 0 	 0 	 0 	 0
ZBTB48 	 509 	 361 	 552 	 601
KLHL21 	 999 	 465 	 548 	 1035
LOC107984913 	 10 	 6 	 5 	 8
PHF13 	 773 	 285 	 284 	 242
THAP3 	 168 	 80 	 86 	 94
DNAJC11 	 414 	 364 	 314 	 456
LINC01672 	 0 	 0 	 0 	 0
LOC124904847 	 0 	 0 	 0 	 0
CAMTA1-DT 	 4 	 8 	 2 	 6
CAMTA1 	 231 	 337 	 99 	 102
LOC124903832 	 68 	 98 	 17 	 42
LOC124900385 	 7 	 4 	 0 	 1
CAMTA1-AS2 	 0 	 0 	 0 	 0
CAMTA1-AS1 	 0 	 0 	 0 	 0
LOC105376691 	 0 	 0 	 1 	 0
LOC105376689 	 16 	 162 	 10 	 2
VAMP3 	 518 	 495 	 764 	 631
PER3 	 53 	 136 	 92 	 13
LOC124903833 	 0 	 6 	 3 	 0
UTS2 	 57 	 62 	 181 	 30
TNFRSF9 	 11 	 2 	 30 	 12
PARK7 	 414 	 382 	 295 	 376
LOC124903834 	 41 	 28 	 19 	 14
ERRFI1 	 76 	 58 	 7 	 23
ERRFI1-DT 	 2 	 0 	 0 	 0
LOC107984915 	 0 	 0 	 0 	 0
LINC01714 	 0 	 0 	 0 	 0
LOC105376695 	 1 	 0 	 0 	 0
LOC124903835 	 0 	 2 	 0 	 0
SLC45A1 	 2 	 5 	 0 	 0
RERE 	 3808 	 3251 	 2375 	 3119
RERE-AS1 	 5 	 5 	 19 	 4
SNORD128 	 0 	 0 	 0 	 0
LOC124900452 	 0 	 0 	 0 	 0
ENO1 	 2247 	 2013 	 2163 	 2146
MIR6728 	 2 	 0 	 0 	 2
ENO1-AS1 	 5 	 8 	 4 	 7
LOC112268261 	 796 	 702 	 132 	 241
CA6 	 240 	 234 	 15 	 15
SLC2A7 	 27 	 52 	 8 	 1
SLC2A5 	 3003 	 5665 	 491 	 1756
LOC124900441 	 0 	 4 	 0 	 0
GPR157 	 12 	 30 	 72 	 58
MIR34AHG 	 355 	 100 	 298 	 148
MIR34A 	 0 	 0 	 0 	 0
LNCTAM34A 	 13 	 6 	 16 	 6
H6PD 	 1308 	 1381 	 1552 	 2460
LOC124903836 	 2 	 8 	 6 	 3
SPSB1 	 274 	 41 	 13 	 14
LINC02606 	 21 	 1 	 1 	 2
SLC25A33 	 87 	 62 	 32 	 51
TMEM201 	 1174 	 461 	 250 	 422
LOC124903837 	 7 	 8 	 4 	 4
PIK3CD 	 2962 	 4150 	 3837 	 4130
LOC105376712 	 0 	 1 	 1 	 0
PIK3CD-AS1 	 20 	 17 	 27 	 34
PIK3CD-AS2 	 10 	 7 	 3 	 5
LOC124903839 	 5 	 14 	 14 	 6
CLSTN1 	 2922 	 3213 	 2109 	 2882
CTNNBIP1 	 1030 	 634 	 387 	 590
LOC105376717 	 12 	 29 	 3 	 8
LOC124903838 	 37 	 26 	 18 	 13
LZIC 	 585 	 485 	 396 	 504
NMNAT1 	 265 	 134 	 244 	 265
TMEM274P 	 1 	 0 	 1 	 1
MIR5697 	 0 	 0 	 0 	 0
LOC124903840 	 0 	 0 	 0 	 0
RBP7 	 10 	 15 	 2 	 37
UBE4B 	 1105 	 1337 	 927 	 1268
KIF1B 	 663 	 843 	 1418 	 846
PGD 	 959 	 770 	 1927 	 1647
CENPS-CORT 	 0 	 2 	 2 	 0
CENPS 	 12 	 4 	 7 	 1
CORT 	 4 	 4 	 1 	 3
DFFA 	 814 	 851 	 547 	 724
PEX14 	 194 	 179 	 172 	 222
CASZ1 	 168 	 287 	 349 	 110
LOC105376733 	 0 	 0 	 0 	 0
LOC105376735 	 0 	 1 	 1 	 0
C1orf127 	 4 	 0 	 19 	 40
TARDBP 	 2457 	 2551 	 1689 	 2241
MASP2 	 82 	 124 	 64 	 88
SRM 	 546 	 340 	 195 	 415
EXOSC10 	 867 	 756 	 738 	 871
EXOSC10-AS1 	 1 	 2 	 0 	 2
MTOR 	 1808 	 1923 	 1905 	 2255
MTOR-AS1 	 1 	 2 	 0 	 2
LOC124904848 	 1 	 0 	 0 	 0
ANGPTL7 	 2 	 2 	 3 	 2
UBIAD1 	 499 	 428 	 367 	 489
LOC105376737 	 0 	 0 	 0 	 0
LOC105376739 	 1 	 1 	 0 	 0
LOC105376740 	 0 	 0 	 0 	 0
LOC124903841 	 8 	 61 	 15 	 3
DISP3 	 43 	 132 	 4 	 27
LOC124903842 	 0 	 1 	 0 	 0
LINC01647 	 0 	 0 	 0 	 0
FBXO2 	 1 	 9 	 10 	 1
FBXO44 	 94 	 238 	 222 	 76
FBXO6 	 101 	 36 	 411 	 128
MAD2L2 	 352 	 223 	 137 	 189
DRAXIN 	 97 	 5 	 31 	 21
AGTRAP 	 272 	 139 	 775 	 582
C1orf167 	 0 	 3 	 0 	 1
C1orf167-AS1 	 0 	 0 	 0 	 0
MTHFR 	 797 	 572 	 499 	 1049
CLCN6 	 643 	 797 	 545 	 736
NPPA-AS1 	 14 	 10 	 17 	 14
NPPA 	 15 	 9 	 8 	 14
NPPB 	 0 	 0 	 0 	 0
RNU5E-1 	 0 	 2 	 1 	 0
LOC124903843 	 1 	 2 	 3 	 1
KIAA2013 	 771 	 498 	 902 	 1008
PLOD1 	 726 	 174 	 901 	 936
MFN2 	 1819 	 1354 	 1853 	 1679
MIIP 	 528 	 337 	 453 	 444
MIR6729 	 0 	 0 	 0 	 0
TNFRSF8 	 13 	 12 	 189 	 168
MIR7846 	 0 	 0 	 0 	 0
TNFRSF1B 	 2027 	 971 	 4010 	 4179
LOC124903844 	 12 	 22 	 32 	 29
MIR4632 	 0 	 0 	 1 	 1
VPS13D 	 1495 	 2198 	 1718 	 1898
LOC124903845 	 2 	 1 	 1 	 0
SNORA59A 	 5 	 10 	 3 	 4
LINC02766 	 296 	 304 	 43 	 112
DHRS3 	 1444 	 2462 	 205 	 399
MIR6730 	 14 	 18 	 2 	 5
AADACL4 	 0 	 0 	 0 	 0
LOC124903846 	 0 	 0 	 0 	 0
AADACL3 	 0 	 0 	 0 	 0
LOC124904811 	 0 	 0 	 0 	 0
CFAP107 	 1 	 0 	 0 	 0
PRAMEF12 	 0 	 0 	 0 	 0
PRAMEF1 	 0 	 0 	 0 	 0
LINC01784 	 0 	 0 	 0 	 0
PRAMEF11 	 0 	 0 	 0 	 0
HNRNPCL1 	 0 	 0 	 0 	 0
PRAMEF2 	 0 	 0 	 0 	 0
PRAMEF4 	 0 	 0 	 0 	 0
PRAMEF10 	 0 	 0 	 0 	 0
PRAMEF7 	 0 	 0 	 0 	 0
PRAMEF6 	 0 	 0 	 0 	 0
PRAMEF27 	 0 	 0 	 0 	 0
HNRNPCL3 	 0 	 0 	 0 	 0
PRAMEF25 	 0 	 0 	 0 	 0
PRAMEF34P 	 0 	 0 	 0 	 0
HNRNPCL2 	 0 	 0 	 0 	 0
PRAMEF36P 	 0 	 0 	 0 	 0
PRAMEF26 	 0 	 0 	 0 	 0
HNRNPCL4 	 0 	 0 	 0 	 0
PRAMEF9 	 0 	 0 	 0 	 0
PRAMEF13 	 0 	 0 	 0 	 0
PRAMEF18 	 0 	 0 	 0 	 0
PRAMEF5 	 0 	 0 	 0 	 0
PRAMEF8 	 0 	 0 	 0 	 0
PRAMEF33 	 0 	 0 	 0 	 0
PRAMEF15 	 0 	 0 	 0 	 0
PRAMEF14 	 0 	 0 	 0 	 0
PRAMEF19 	 0 	 0 	 0 	 0
PRAMEF17 	 1 	 0 	 0 	 0
PRAMEF20 	 0 	 0 	 0 	 0
LRRC38 	 33 	 5 	 2 	 8
LOC102724856 	 4 	 0 	 0 	 1
LOC107984918 	 0 	 0 	 0 	 0
PDPN 	 0 	 3 	 0 	 0
LOC105378612 	 0 	 2 	 0 	 0
LOC105376756 	 0 	 1 	 0 	 0
LOC124900446 	 0 	 1 	 0 	 0
PRDM2 	 1417 	 5418 	 1886 	 2059
KAZN 	 5 	 9 	 5 	 12
LOC107985467 	 0 	 6 	 1 	 1
LOC124903847 	 4 	 3 	 0 	 0
KAZN-AS1 	 0 	 0 	 0 	 0
LOC124903850 	 1 	 1 	 0 	 0
LOC105376759 	 0 	 0 	 0 	 0
LOC124903848 	 0 	 0 	 0 	 0
LOC107985469 	 0 	 0 	 0 	 0
LOC124903849 	 0 	 0 	 0 	 0
TMEM51-AS1 	 2 	 1 	 11 	 2
TMEM51 	 271 	 47 	 269 	 167
TMEM51-AS2 	 2 	 3 	 0 	 0
FHAD1 	 6 	 4 	 25 	 12
LOC124903853 	 0 	 0 	 0 	 0
LOC124903852 	 0 	 0 	 0 	 2
FHAD1-AS1 	 0 	 2 	 0 	 2
LOC124903851 	 0 	 0 	 1 	 1
EFHD2-AS1 	 5 	 1 	 11 	 6
EFHD2 	 1135 	 972 	 2170 	 2200
CTRC 	 0 	 4 	 1 	 1
CELA2A 	 0 	 0 	 0 	 0
LOC105376767 	 0 	 0 	 0 	 0
CELA2B 	 2 	 3 	 5 	 4
CASP9 	 187 	 282 	 375 	 322
DNAJC16 	 348 	 310 	 417 	 422
SCARNA21B 	 0 	 0 	 0 	 0
AGMAT 	 5 	 2 	 19 	 24
LOC124903854 	 0 	 1 	 1 	 1
DDI2 	 949 	 1042 	 710 	 1406
RSC1A1 	 1 	 4 	 0 	 5
PLEKHM2 	 1610 	 1473 	 1481 	 1792
SLC25A34 	 78 	 37 	 27 	 23
SLC25A34-AS1 	 0 	 0 	 0 	 0
TMEM82 	 0 	 0 	 0 	 0
FBLIM1 	 46 	 16 	 1 	 21
UQCRHL 	 61 	 75 	 46 	 63
SPEN-AS1 	 147 	 129 	 83 	 147
SPEN 	 3744 	 3079 	 3684 	 4143
LOC124904815 	 1 	 0 	 0 	 0
ZBTB17 	 648 	 569 	 557 	 671
LOC124903855 	 56 	 125 	 43 	 50
SRARP 	 1 	 1 	 0 	 0
HSPB7 	 4 	 0 	 1 	 0
CLCNKA 	 2 	 0 	 2 	 1
CLCNKB 	 0 	 0 	 1 	 0
FAM131C 	 0 	 0 	 0 	 0
EPHA2 	 153 	 33 	 15 	 31
EPHA2-AS1 	 0 	 1 	 0 	 0
ARHGEF19 	 0 	 0 	 0 	 0
ANO7L1 	 0 	 0 	 0 	 0
CPLANE2 	 0 	 0 	 0 	 0
FBXO42 	 0 	 0 	 0 	 0
SZRD1 	 0 	 0 	 0 	 0
SPATA21 	 0 	 0 	 0 	 0
NECAP2 	 0 	 0 	 0 	 0
LINC01772 	 0 	 0 	 0 	 0
CROCCP3 	 8 	 24 	 17 	 5
RNU1-1 	 0 	 0 	 0 	 0
TRN-GTT5-1 	 0 	 0 	 0 	 0
LINC01783 	 0 	 0 	 0 	 0
TRE-TTC4-1 	 0 	 0 	 0 	 0
LOC124903856 	 0 	 0 	 0 	 0
TRG-CCC1-1 	 0 	 0 	 0 	 0
NBPF1 	 9 	 17 	 0 	 2
CROCCP2 	 17 	 17 	 0 	 3
LOC124900386 	 1 	 4 	 0 	 0
MST1P2 	 6 	 8 	 1 	 1
RNU1-3 	 0 	 0 	 0 	 0
LOC124903857 	 0 	 0 	 0 	 0
TRG-CCC4-1 	 0 	 0 	 0 	 0
ESPNP 	 0 	 0 	 0 	 0
LOC124903858 	 0 	 0 	 0 	 0
TRG-CCC5-1 	 0 	 0 	 0 	 0
LOC124903859 	 0 	 0 	 0 	 0
RNU1-4 	 0 	 0 	 0 	 0
MST1L 	 0 	 0 	 0 	 0
MIR3675 	 0 	 0 	 0 	 0
TRG-CCC1-2 	 0 	 0 	 0 	 0
LOC112267871 	 0 	 0 	 0 	 0
TRE-TTC3-1 	 0 	 0 	 0 	 0
LOC105376805 	 0 	 0 	 0 	 0
TRN-GTT4-1 	 0 	 0 	 0 	 0
RNU1-2 	 0 	 0 	 0 	 0
CROCC 	 11 	 0 	 0 	 2
MFAP2 	 0 	 0 	 0 	 0
LOC105376806 	 0 	 0 	 0 	 0
ATP13A2 	 0 	 0 	 0 	 0
SDHB 	 0 	 0 	 0 	 0
PADI2 	 0 	 0 	 0 	 0
LOC124903861 	 0 	 0 	 0 	 0
LOC105376808 	 0 	 0 	 0 	 0
LINC02783 	 0 	 0 	 0 	 0
PADI1 	 0 	 0 	 0 	 0
PADI3 	 0 	 0 	 0 	 0
MIR3972 	 0 	 0 	 0 	 0
PADI4 	 0 	 0 	 0 	 0
PADI6 	 0 	 0 	 0 	 0
RCC2 	 0 	 0 	 0 	 0
RCC2-AS1 	 0 	 0 	 0 	 0
LOC124903862 	 0 	 0 	 0 	 0
LOC124904837 	 0 	 0 	 0 	 0
ARHGEF10L 	 20 	 7 	 549 	 1338
LINC02810 	 0 	 0 	 0 	 0
ACTL8 	 0 	 0 	 0 	 0
LOC105376809 	 0 	 0 	 0 	 0
LOC105376812 	 0 	 0 	 0 	 0
LINC01654 	 0 	 0 	 0 	 0
IGSF21 	 24 	 4 	 0 	 4
IGSF21-AS1 	 0 	 0 	 0 	 0
LOC124903864 	 0 	 0 	 0 	 0
LOC124903863 	 0 	 0 	 0 	 0
LOC124903865 	 0 	 0 	 0 	 0
KLHDC7A 	 0 	 0 	 18 	 4
PAX7 	 0 	 0 	 0 	 0
TAS1R2 	 1 	 1 	 0 	 1
ALDH4A1 	 406 	 330 	 400 	 593
MIR4695 	 0 	 0 	 0 	 0
MIR1290 	 0 	 0 	 0 	 0
LOC124903866 	 0 	 0 	 2 	 1
IFFO2 	 210 	 102 	 542 	 480
LOC105376815 	 0 	 0 	 0 	 0
UBR4 	 2918 	 5878 	 4931 	 5580
EMC1-AS1 	 23 	 44 	 18 	 25
EMC1 	 913 	 766 	 811 	 1014
MRTO4 	 287 	 205 	 127 	 248
AKR7L 	 7 	 2 	 0 	 5
AKR7A3 	 11 	 4 	 6 	 4
LOC124903867 	 14 	 3 	 10 	 23
LOC100506730 	 76 	 34 	 19 	 41
AKR7A2 	 346 	 130 	 158 	 241
SLC66A1 	 388 	 141 	 265 	 297
CAPZB 	 990 	 991 	 1070 	 1070
LOC124903868 	 3 	 2 	 0 	 0
LOC124903869 	 1 	 2 	 2 	 0
LOC105376819 	 3 	 38 	 5 	 3
LOC105376818 	 0 	 0 	 0 	 0
LOC105376817 	 0 	 5 	 1 	 0
LOC124904816 	 0 	 0 	 0 	 0
MICOS10-DT 	 0 	 1 	 0 	 0
MICOS10-NBL1 	 0 	 0 	 0 	 0
MICOS10 	 99 	 62 	 73 	 92
RPS14P3 	 20 	 12 	 7 	 12
NBL1 	 1 	 0 	 1 	 0
HTR6 	 1 	 1 	 2 	 3
TMCO4 	 399 	 261 	 266 	 362
RNF186 	 0 	 0 	 0 	 0
LOC105376823 	 0 	 0 	 0 	 0
OTUD3 	 507 	 611 	 303 	 759
PLA2G2E 	 0 	 0 	 0 	 0
PLA2G2A 	 0 	 1 	 0 	 0
PLA2G5 	 3 	 1 	 0 	 0
PLA2G2D 	 2 	 1 	 24 	 5
PLA2G2F 	 1 	 0 	 6 	 0
LOC117779438 	 4 	 6 	 48 	 2
PLA2G2C 	 65 	 27 	 32 	 1
UBXN10 	 144 	 77 	 155 	 20
LOC105376825 	 4 	 1 	 2 	 0
LOC105376826 	 0 	 0 	 0 	 0
LINC01757 	 0 	 0 	 0 	 0
LOC105376828 	 0 	 0 	 0 	 0
VWA5B1 	 0 	 0 	 0 	 0
LOC124903870 	 0 	 0 	 0 	 0
LINC01141 	 0 	 0 	 0 	 0
LOC124903871 	 0 	 0 	 0 	 0
CAMK2N1 	 10 	 4 	 2 	 1
MUL1 	 372 	 256 	 398 	 415
FAM43B 	 0 	 0 	 0 	 0
CDA 	 40 	 59 	 521 	 240
PINK1 	 187 	 183 	 272 	 368
MIR6084 	 0 	 0 	 0 	 0
PINK1-AS 	 83 	 75 	 56 	 76
DDOST 	 1103 	 912 	 1032 	 1227
KIF17 	 8 	 2 	 53 	 279
SH2D5 	 0 	 3 	 1 	 1
HP1BP3 	 3274 	 2503 	 2325 	 2635
EIF4G3 	 1573 	 2246 	 1760 	 2210
LOC105376830 	 1 	 4 	 2 	 2
LOC105376829 	 0 	 10 	 2 	 2
MIR1256 	 0 	 1 	 0 	 0
ECE1 	 424 	 234 	 1588 	 2197
LOC124903872 	 1 	 0 	 4 	 1
ECE1-AS1 	 2 	 2 	 7 	 12
LOC105376832 	 0 	 0 	 0 	 0
NBPF3 	 313 	 51 	 26 	 35
ALPL 	 265 	 90 	 16 	 58
LINC02596 	 0 	 0 	 0 	 0
RAP1GAP 	 246 	 407 	 6 	 478
USP48 	 1206 	 920 	 1100 	 1301
LDLRAD2 	 131 	 84 	 86 	 290
HSPG2 	 2771 	 1251 	 485 	 2651
CELA3B 	 4 	 0 	 0 	 0
CELA3A 	 0 	 0 	 0 	 0
LINC01635 	 10 	 14 	 12 	 6
LINC00339 	 168 	 126 	 162 	 150
CDC42 	 1149 	 1539 	 1319 	 1252
WNT4 	 7 	 10 	 7 	 7
LOC105376845 	 1 	 0 	 3 	 0
LOC105376850 	 0 	 2 	 1 	 1
LOC107985377 	 0 	 0 	 0 	 0
MIR4418 	 0 	 0 	 0 	 0
LOC105376856 	 0 	 0 	 0 	 0
ZBTB40 	 1157 	 1076 	 1264 	 1705
EPHA8 	 0 	 0 	 0 	 0
MIR6127 	 0 	 0 	 0 	 0
C1QA 	 288 	 210 	 20 	 88
C1QC 	 558 	 308 	 13 	 135
C1QB 	 414 	 224 	 2 	 82
EPHB2 	 4 	 1 	 162 	 63
MIR4684 	 0 	 0 	 0 	 0
MIR4253 	 0 	 0 	 0 	 0
LOC124903874 	 0 	 0 	 0 	 0
LACTBL1 	 0 	 0 	 0 	 0
TEX46 	 0 	 0 	 0 	 1
KDM1A 	 1283 	 1285 	 669 	 1131
MIR3115 	 0 	 0 	 0 	 0
LUZP1 	 1933 	 3015 	 1078 	 1620
HTR1D 	 1 	 0 	 0 	 0
LINC01355 	 0 	 0 	 0 	 0
HNRNPR 	 0 	 0 	 0 	 0
ZNF436 	 0 	 0 	 0 	 0
ZNF436-AS1 	 0 	 0 	 0 	 0
TCEA3 	 0 	 0 	 0 	 0
LOC124903875 	 0 	 0 	 0 	 0
ASAP3 	 0 	 0 	 0 	 0
E2F2 	 0 	 0 	 0 	 0
LOC101928163 	 0 	 0 	 0 	 0
