# Program:featureCounts v2.0.1; Command:"featureCounts" "-Q" "10" "-t" "exon" "-g" "gene_id" "-T" "32" "-a" "data/GCF_000001405.40_GRCh38.p14_genomic.gtf" "-o" "8.features/features_count.txt" "7.samtools/SRR14689338_mixed.bam" "7.samtools/SRR14689339_mixed.bam" "7.samtools/SRR14689340_lymphoblastic.bam"  	  	  	  	  	  	 
Geneid 	 7.samtools/SRR14689338_mixed.bam 	 7.samtools/SRR14689339_mixed.bam 	 7.samtools/SRR14689340_lymphoblastic.bam 	  	  	 
PEX10 	 137 	 256 	 171 	  	  	 
PLCH2 	 3 	 16 	 0 	  	  	 
PANK4 	 0 	 0 	 0 	  	  	 
HES5 	 0 	 0 	 0 	  	  	 
TNFRSF14-AS1 	 0 	 0 	 0 	  	  	 
TNFRSF14 	 0 	 0 	 0 	  	  	 
LOC100996583 	 0 	 0 	 0 	  	  	 
PRXL2B 	 0 	 0 	 0 	  	  	 
MMEL1 	 0 	 0 	 0 	  	  	 
MMEL1-AS1 	 0 	 0 	 0 	  	  	 
TTC34 	 0 	 3 	 2 	  	  	 
LOC105378602 	 0 	 0 	 0 	  	  	 
LOC105378601 	 0 	 0 	 0 	  	  	 
LOC112268220 	 0 	 0 	 0 	  	  	 
LOC107985732 	 0 	 0 	 0 	  	  	 
LOC105378600 	 0 	 0 	 0 	  	  	 
LOC105378598 	 0 	 0 	 0 	  	  	 
LOC107984904 	 0 	 0 	 0 	  	  	 
LOC105378599 	 0 	 0 	 0 	  	  	 
LOC124903825 	 0 	 0 	 1 	  	  	 
LOC124903826 	 0 	 0 	 0 	  	  	 
ACTRT2 	 1 	 0 	 0 	  	  	 
LOC124903827 	 2 	 0 	 0 	  	  	 
PRDM16-DT 	 0 	 0 	 0 	  	  	 
PRDM16 	 0 	 0 	 2 	  	  	 
MIR4251 	 0 	 0 	 0 	  	  	 
LOC105378606 	 0 	 0 	 0 	  	  	 
LOC107984909 	 2 	 0 	 0 	  	  	 
LOC105378605 	 0 	 0 	 0 	  	  	 
LOC124903828 	 2 	 0 	 0 	  	  	 
LOC105378604 	 0 	 0 	 0 	  	  	 
ARHGEF16 	 3 	 1 	 11 	  	  	 
MEGF6 	 1227 	 2210 	 2429 	  	  	 
LOC105378608 	 0 	 0 	 2 	  	  	 
MIR551A 	 0 	 0 	 0 	  	  	 
TPRG1L 	 599 	 733 	 517 	  	  	 
WRAP73 	 364 	 407 	 547 	  	  	 
TP73 	 131 	 38 	 1183 	  	  	 
TP73-AS3 	 5 	 0 	 10 	  	  	 
TP73-AS1 	 742 	 925 	 780 	  	  	 
CCDC27 	 1 	 0 	 1 	  	  	 
SMIM1 	 10 	 27 	 17 	  	  	 
LRRC47 	 618 	 724 	 816 	  	  	 
CEP104 	 470 	 722 	 677 	  	  	 
LOC124903829 	 10 	 9 	 10 	  	  	 
DFFB 	 152 	 279 	 226 	  	  	 
C1orf174 	 270 	 350 	 381 	  	  	 
LINC01134 	 5 	 4 	 8 	  	  	 
LINC01346 	 0 	 0 	 0 	  	  	 
LINC01345 	 0 	 0 	 0 	  	  	 
LINC01777 	 0 	 0 	 0 	  	  	 
LOC105376674 	 0 	 0 	 0 	  	  	 
LOC124904578 	 0 	 0 	 0 	  	  	 
LINC01646 	 0 	 0 	 0 	  	  	 
AJAP1 	 1 	 0 	 0 	  	  	 
LINC02781 	 0 	 0 	 0 	  	  	 
LOC124904589 	 0 	 0 	 0 	  	  	 
LOC102724429 	 0 	 0 	 0 	  	  	 
LINC02782 	 0 	 0 	 0 	  	  	 
LOC105376682 	 0 	 0 	 0 	  	  	 
LOC124904590 	 0 	 0 	 0 	  	  	 
LOC107984911 	 0 	 0 	 0 	  	  	 
LOC105376686 	 0 	 0 	 0 	  	  	 
LOC124900451 	 0 	 0 	 0 	  	  	 
LOC124903830 	 0 	 0 	 23 	  	  	 
MIR4689 	 0 	 0 	 0 	  	  	 
NPHP4 	 468 	 759 	 1414 	  	  	 
KCNAB2 	 2418 	 2879 	 1669 	  	  	 
LOC124903831 	 5 	 4 	 3 	  	  	 
CHD5 	 20 	 14 	 3 	  	  	 
RPL22 	 1037 	 1367 	 1078 	  	  	 
RNF207-AS1 	 0 	 2 	 1 	  	  	 
RNF207 	 11 	 34 	 9 	  	  	 
ICMT 	 664 	 566 	 1401 	  	  	 
ICMT-DT 	 1 	 0 	 2 	  	  	 
HES3 	 0 	 0 	 0 	  	  	 
GPR153 	 17 	 35 	 68 	  	  	 
ACOT7 	 257 	 308 	 408 	  	  	 
HES2 	 0 	 0 	 0 	  	  	 
ESPN 	 10 	 160 	 21 	  	  	 
MIR4252 	 0 	 0 	 0 	  	  	 
TNFRSF25 	 102 	 198 	 18 	  	  	 
PLEKHG5 	 9 	 21 	 16 	  	  	 
NOL9 	 287 	 534 	 584 	  	  	 
TAS1R1 	 0 	 2 	 0 	  	  	 
LOC107984912 	 0 	 0 	 0 	  	  	 
ZBTB48 	 438 	 563 	 509 	  	  	 
KLHL21 	 460 	 824 	 999 	  	  	 
LOC107984913 	 2 	 8 	 10 	  	  	 
PHF13 	 168 	 474 	 773 	  	  	 
THAP3 	 78 	 94 	 168 	  	  	 
DNAJC11 	 355 	 493 	 414 	  	  	 
LINC01672 	 0 	 0 	 0 	  	  	 
LOC124904847 	 0 	 0 	 0 	  	  	 
CAMTA1-DT 	 9 	 3 	 4 	  	  	 
CAMTA1 	 187 	 114 	 231 	  	  	 
LOC124903832 	 12 	 23 	 68 	  	  	 
LOC124900385 	 0 	 1 	 7 	  	  	 
CAMTA1-AS2 	 0 	 0 	 0 	  	  	 
CAMTA1-AS1 	 0 	 0 	 0 	  	  	 
LOC105376691 	 0 	 0 	 0 	  	  	 
LOC105376689 	 10 	 10 	 16 	  	  	 
VAMP3 	 927 	 544 	 518 	  	  	 
PER3 	 104 	 293 	 53 	  	  	 
LOC124903833 	 0 	 11 	 0 	  	  	 
UTS2 	 116 	 47 	 57 	  	  	 
TNFRSF9 	 47 	 27 	 11 	  	  	 
PARK7 	 420 	 386 	 414 	  	  	 
LOC124903834 	 10 	 20 	 41 	  	  	 
ERRFI1 	 49 	 18 	 76 	  	  	 
ERRFI1-DT 	 0 	 3 	 2 	  	  	 
LOC107984915 	 0 	 0 	 0 	  	  	 
LINC01714 	 0 	 0 	 0 	  	  	 
LOC105376695 	 0 	 0 	 1 	  	  	 
LOC124903835 	 0 	 0 	 0 	  	  	 
SLC45A1 	 2 	 2 	 2 	  	  	 
RERE 	 2559 	 4239 	 3808 	  	  	 
RERE-AS1 	 2 	 4 	 5 	  	  	 
SNORD128 	 0 	 1 	 0 	  	  	 
LOC124900452 	 0 	 0 	 0 	  	  	 
ENO1 	 2219 	 2133 	 2247 	  	  	 
MIR6728 	 0 	 3 	 2 	  	  	 
ENO1-AS1 	 7 	 5 	 5 	  	  	 
LOC112268261 	 523 	 239 	 796 	  	  	 
CA6 	 586 	 122 	 240 	  	  	 
SLC2A7 	 46 	 10 	 27 	  	  	 
SLC2A5 	 2109 	 2654 	 3003 	  	  	 
LOC124900441 	 0 	 0 	 0 	  	  	 
GPR157 	 55 	 50 	 12 	  	  	 
MIR34AHG 	 65 	 141 	 355 	  	  	 
MIR34A 	 0 	 0 	 0 	  	  	 
LNCTAM34A 	 3 	 3 	 13 	  	  	 
H6PD 	 1072 	 1308 	 1308 	  	  	 
LOC124903836 	 5 	 7 	 2 	  	  	 
SPSB1 	 29 	 70 	 274 	  	  	 
LINC02606 	 3 	 6 	 21 	  	  	 
SLC25A33 	 64 	 92 	 87 	  	  	 
TMEM201 	 384 	 534 	 1174 	  	  	 
LOC124903837 	 6 	 5 	 7 	  	  	 
PIK3CD 	 3615 	 3872 	 2962 	  	  	 
LOC105376712 	 0 	 0 	 0 	  	  	 
PIK3CD-AS1 	 19 	 10 	 20 	  	  	 
PIK3CD-AS2 	 4 	 4 	 10 	  	  	 
LOC124903839 	 12 	 9 	 5 	  	  	 
CLSTN1 	 2462 	 2949 	 2922 	  	  	 
CTNNBIP1 	 631 	 721 	 1030 	  	  	 
LOC105376717 	 3 	 2 	 12 	  	  	 
LOC124903838 	 17 	 24 	 37 	  	  	 
LZIC 	 524 	 523 	 585 	  	  	 
NMNAT1 	 222 	 200 	 265 	  	  	 
TMEM274P 	 0 	 2 	 1 	  	  	 
MIR5697 	 1 	 0 	 0 	  	  	 
LOC124903840 	 0 	 0 	 0 	  	  	 
RBP7 	 47 	 21 	 10 	  	  	 
UBE4B 	 1104 	 1310 	 1105 	  	  	 
KIF1B 	 1064 	 1038 	 663 	  	  	 
PGD 	 1679 	 1260 	 959 	  	  	 
CENPS-CORT 	 1 	 1 	 0 	  	  	 
CENPS 	 9 	 1 	 12 	  	  	 
CORT 	 3 	 3 	 4 	  	  	 
DFFA 	 887 	 844 	 814 	  	  	 
PEX14 	 213 	 241 	 194 	  	  	 
CASZ1 	 207 	 238 	 168 	  	  	 
LOC105376733 	 0 	 0 	 0 	  	  	 
LOC105376735 	 9 	 0 	 0 	  	  	 
C1orf127 	 33 	 8 	 4 	  	  	 
TARDBP 	 2049 	 2276 	 2457 	  	  	 
MASP2 	 85 	 204 	 82 	  	  	 
SRM 	 355 	 523 	 546 	  	  	 
EXOSC10 	 704 	 893 	 867 	  	  	 
EXOSC10-AS1 	 1 	 1 	 1 	  	  	 
MTOR 	 1916 	 1709 	 1808 	  	  	 
MTOR-AS1 	 1 	 1 	 1 	  	  	 
LOC124904848 	 0 	 0 	 1 	  	  	 
ANGPTL7 	 1 	 0 	 2 	  	  	 
UBIAD1 	 512 	 546 	 499 	  	  	 
LOC105376737 	 0 	 0 	 0 	  	  	 
LOC105376739 	 0 	 0 	 1 	  	  	 
LOC105376740 	 0 	 0 	 0 	  	  	 
LOC124903841 	 131 	 0 	 8 	  	  	 
DISP3 	 21 	 21 	 43 	  	  	 
LOC124903842 	 0 	 0 	 0 	  	  	 
LINC01647 	 0 	 0 	 0 	  	  	 
FBXO2 	 0 	 13 	 1 	  	  	 
FBXO44 	 137 	 473 	 94 	  	  	 
FBXO6 	 162 	 164 	 101 	  	  	 
MAD2L2 	 209 	 185 	 352 	  	  	 
DRAXIN 	 17 	 20 	 97 	  	  	 
AGTRAP 	 417 	 403 	 272 	  	  	 
C1orf167 	 0 	 2 	 0 	  	  	 
C1orf167-AS1 	 0 	 0 	 0 	  	  	 
MTHFR 	 530 	 834 	 797 	  	  	 
CLCN6 	 362 	 721 	 643 	  	  	 
NPPA-AS1 	 2 	 17 	 14 	  	  	 
NPPA 	 6 	 12 	 15 	  	  	 
NPPB 	 0 	 1 	 0 	  	  	 
RNU5E-1 	 1 	 0 	 0 	  	  	 
LOC124903843 	 5 	 0 	 1 	  	  	 
KIAA2013 	 685 	 832 	 771 	  	  	 
PLOD1 	 731 	 649 	 726 	  	  	 
MFN2 	 1554 	 1997 	 1819 	  	  	 
MIIP 	 429 	 596 	 528 	  	  	 
MIR6729 	 0 	 0 	 0 	  	  	 
TNFRSF8 	 225 	 45 	 13 	  	  	 
MIR7846 	 0 	 0 	 0 	  	  	 
TNFRSF1B 	 3149 	 2827 	 2027 	  	  	 
LOC124903844 	 9 	 18 	 12 	  	  	 
MIR4632 	 1 	 0 	 0 	  	  	 
VPS13D 	 1652 	 2228 	 1495 	  	  	 
LOC124903845 	 1 	 0 	 2 	  	  	 
SNORA59A 	 2 	 8 	 5 	  	  	 
LINC02766 	 50 	 83 	 296 	  	  	 
DHRS3 	 468 	 1390 	 1444 	  	  	 
MIR6730 	 4 	 14 	 14 	  	  	 
AADACL4 	 0 	 1 	 0 	  	  	 
LOC124903846 	 0 	 0 	 0 	  	  	 
AADACL3 	 0 	 0 	 0 	  	  	 
LOC124904811 	 0 	 0 	 0 	  	  	 
CFAP107 	 0 	 0 	 1 	  	  	 
PRAMEF12 	 0 	 0 	 0 	  	  	 
PRAMEF1 	 0 	 0 	 0 	  	  	 
LINC01784 	 0 	 0 	 0 	  	  	 
PRAMEF11 	 0 	 0 	 0 	  	  	 
HNRNPCL1 	 0 	 0 	 0 	  	  	 
PRAMEF2 	 0 	 0 	 0 	  	  	 
PRAMEF4 	 0 	 0 	 0 	  	  	 
PRAMEF10 	 0 	 0 	 0 	  	  	 
PRAMEF7 	 0 	 0 	 0 	  	  	 
PRAMEF6 	 0 	 0 	 0 	  	  	 
PRAMEF27 	 0 	 0 	 0 	  	  	 
HNRNPCL3 	 0 	 0 	 0 	  	  	 
PRAMEF25 	 0 	 0 	 0 	  	  	 
PRAMEF34P 	 0 	 0 	 0 	  	  	 
HNRNPCL2 	 0 	 0 	 0 	  	  	 
PRAMEF36P 	 0 	 0 	 0 	  	  	 
PRAMEF26 	 0 	 0 	 0 	  	  	 
HNRNPCL4 	 0 	 0 	 0 	  	  	 
PRAMEF9 	 0 	 0 	 0 	  	  	 
PRAMEF13 	 0 	 0 	 0 	  	  	 
PRAMEF18 	 0 	 0 	 0 	  	  	 
PRAMEF5 	 0 	 0 	 0 	  	  	 
PRAMEF8 	 0 	 0 	 0 	  	  	 
PRAMEF33 	 0 	 0 	 0 	  	  	 
PRAMEF15 	 0 	 0 	 0 	  	  	 
PRAMEF14 	 0 	 0 	 0 	  	  	 
PRAMEF19 	 0 	 0 	 0 	  	  	 
PRAMEF17 	 0 	 0 	 1 	  	  	 
PRAMEF20 	 0 	 0 	 0 	  	  	 
LRRC38 	 325 	 3 	 33 	  	  	 
LOC102724856 	 0 	 0 	 4 	  	  	 
LOC107984918 	 4 	 0 	 0 	  	  	 
PDPN 	 0 	 0 	 0 	  	  	 
LOC105378612 	 0 	 0 	 0 	  	  	 
LOC105376756 	 0 	 0 	 0 	  	  	 
LOC124900446 	 0 	 0 	 0 	  	  	 
PRDM2 	 2549 	 1053 	 1417 	  	  	 
KAZN 	 25 	 92 	 5 	  	  	 
LOC107985467 	 0 	 0 	 0 	  	  	 
LOC124903847 	 2 	 0 	 4 	  	  	 
KAZN-AS1 	 0 	 0 	 0 	  	  	 
LOC124903850 	 2 	 1 	 1 	  	  	 
LOC105376759 	 0 	 0 	 0 	  	  	 
LOC124903848 	 0 	 0 	 0 	  	  	 
LOC107985469 	 0 	 0 	 0 	  	  	 
LOC124903849 	 0 	 0 	 0 	  	  	 
TMEM51-AS1 	 0 	 2 	 2 	  	  	 
TMEM51 	 53 	 100 	 271 	  	  	 
TMEM51-AS2 	 0 	 0 	 2 	  	  	 
FHAD1 	 22 	 37 	 6 	  	  	 
LOC124903853 	 0 	 0 	 0 	  	  	 
LOC124903852 	 0 	 0 	 0 	  	  	 
FHAD1-AS1 	 0 	 2 	 0 	  	  	 
LOC124903851 	 0 	 0 	 0 	  	  	 
EFHD2-AS1 	 6 	 5 	 5 	  	  	 
EFHD2 	 1826 	 2054 	 1135 	  	  	 
CTRC 	 4 	 10 	 0 	  	  	 
CELA2A 	 0 	 0 	 0 	  	  	 
LOC105376767 	 0 	 0 	 0 	  	  	 
CELA2B 	 3 	 2 	 2 	  	  	 
CASP9 	 366 	 333 	 187 	  	  	 
DNAJC16 	 221 	 416 	 348 	  	  	 
SCARNA21B 	 0 	 0 	 0 	  	  	 
AGMAT 	 12 	 45 	 5 	  	  	 
LOC124903854 	 1 	 2 	 0 	  	  	 
DDI2 	 702 	 1551 	 949 	  	  	 
RSC1A1 	 1 	 1 	 1 	  	  	 
PLEKHM2 	 1438 	 1715 	 1610 	  	  	 
SLC25A34 	 17 	 36 	 78 	  	  	 
SLC25A34-AS1 	 0 	 0 	 0 	  	  	 
TMEM82 	 0 	 0 	 0 	  	  	 
FBLIM1 	 46 	 2 	 46 	  	  	 
UQCRHL 	 65 	 69 	 61 	  	  	 
SPEN-AS1 	 146 	 108 	 147 	  	  	 
SPEN 	 3090 	 3658 	 3744 	  	  	 
LOC124904815 	 0 	 0 	 1 	  	  	 
ZBTB17 	 469 	 637 	 648 	  	  	 
LOC124903855 	 22 	 32 	 56 	  	  	 
SRARP 	 0 	 0 	 1 	  	  	 
HSPB7 	 0 	 4 	 4 	  	  	 
CLCNKA 	 0 	 1 	 2 	  	  	 
CLCNKB 	 0 	 0 	 0 	  	  	 
FAM131C 	 0 	 1 	 0 	  	  	 
EPHA2 	 238 	 61 	 153 	  	  	 
EPHA2-AS1 	 2 	 2 	 0 	  	  	 
ARHGEF19 	 0 	 0 	 0 	  	  	 
ANO7L1 	 0 	 0 	 0 	  	  	 
CPLANE2 	 0 	 0 	 0 	  	  	 
FBXO42 	 0 	 0 	 0 	  	  	 
SZRD1 	 0 	 0 	 0 	  	  	 
SPATA21 	 0 	 0 	 0 	  	  	 
NECAP2 	 0 	 0 	 0 	  	  	 
LINC01772 	 0 	 0 	 0 	  	  	 
CROCCP3 	 10 	 17 	 8 	  	  	 
RNU1-1 	 0 	 0 	 0 	  	  	 
TRN-GTT5-1 	 0 	 0 	 0 	  	  	 
LINC01783 	 0 	 0 	 0 	  	  	 
TRE-TTC4-1 	 0 	 0 	 0 	  	  	 
LOC124903856 	 0 	 0 	 0 	  	  	 
TRG-CCC1-1 	 0 	 0 	 0 	  	  	 
NBPF1 	 3 	 2 	 9 	  	  	 
CROCCP2 	 11 	 2 	 17 	  	  	 
LOC124900386 	 1 	 0 	 1 	  	  	 
MST1P2 	 10 	 3 	 6 	  	  	 
RNU1-3 	 0 	 0 	 0 	  	  	 
LOC124903857 	 0 	 0 	 0 	  	  	 
TRG-CCC4-1 	 0 	 0 	 0 	  	  	 
ESPNP 	 0 	 0 	 0 	  	  	 
LOC124903858 	 0 	 0 	 0 	  	  	 
TRG-CCC5-1 	 0 	 0 	 0 	  	  	 
LOC124903859 	 0 	 0 	 0 	  	  	 
RNU1-4 	 0 	 0 	 0 	  	  	 
MST1L 	 0 	 0 	 0 	  	  	 
MIR3675 	 0 	 0 	 0 	  	  	 
TRG-CCC1-2 	 0 	 0 	 0 	  	  	 
LOC112267871 	 0 	 0 	 0 	  	  	 
TRE-TTC3-1 	 0 	 0 	 0 	  	  	 
LOC105376805 	 0 	 0 	 0 	  	  	 
TRN-GTT4-1 	 0 	 0 	 0 	  	  	 
RNU1-2 	 0 	 0 	 0 	  	  	 
CROCC 	 0 	 2 	 11 	  	  	 
MFAP2 	 0 	 0 	 0 	  	  	 
LOC105376806 	 0 	 0 	 0 	  	  	 
ATP13A2 	 0 	 0 	 0 	  	  	 
SDHB 	 0 	 0 	 0 	  	  	 
PADI2 	 0 	 0 	 0 	  	  	 
LOC124903861 	 0 	 0 	 0 	  	  	 
LOC105376808 	 0 	 0 	 0 	  	  	 
LINC02783 	 0 	 0 	 0 	  	  	 
PADI1 	 0 	 0 	 0 	  	  	 
PADI3 	 0 	 0 	 0 	  	  	 
MIR3972 	 0 	 0 	 0 	  	  	 
PADI4 	 0 	 0 	 0 	  	  	 
PADI6 	 0 	 0 	 0 	  	  	 
RCC2 	 0 	 0 	 0 	  	  	 
RCC2-AS1 	 0 	 0 	 0 	  	  	 
LOC124903862 	 0 	 0 	 0 	  	  	 
LOC124904837 	 0 	 0 	 0 	  	  	 
ARHGEF10L 	 502 	 27 	 20 	  	  	 
LINC02810 	 0 	 0 	 0 	  	  	 
ACTL8 	 0 	 0 	 0 	  	  	 
LOC105376809 	 0 	 0 	 0 	  	  	 
LOC105376812 	 0 	 0 	 0 	  	  	 
LINC01654 	 0 	 0 	 0 	  	  	 
IGSF21 	 2 	 0 	 24 	  	  	 
IGSF21-AS1 	 0 	 0 	 0 	  	  	 
LOC124903864 	 0 	 0 	 0 	  	  	 
LOC124903863 	 0 	 0 	 0 	  	  	 
LOC124903865 	 0 	 0 	 0 	  	  	 
KLHDC7A 	 0 	 1 	 0 	  	  	 
PAX7 	 1 	 0 	 0 	  	  	 
TAS1R2 	 0 	 0 	 1 	  	  	 
ALDH4A1 	 548 	 298 	 406 	  	  	 
MIR4695 	 0 	 0 	 0 	  	  	 
MIR1290 	 0 	 0 	 0 	  	  	 
LOC124903866 	 6 	 1 	 0 	  	  	 
IFFO2 	 505 	 595 	 210 	  	  	 
LOC105376815 	 0 	 0 	 0 	  	  	 
UBR4 	 4414 	 3784 	 2918 	  	  	 
EMC1-AS1 	 39 	 15 	 23 	  	  	 
EMC1 	 684 	 974 	 913 	  	  	 
MRTO4 	 247 	 328 	 287 	  	  	 
AKR7L 	 9 	 9 	 7 	  	  	 
AKR7A3 	 6 	 11 	 11 	  	  	 
LOC124903867 	 13 	 11 	 14 	  	  	 
LOC100506730 	 55 	 46 	 76 	  	  	 
AKR7A2 	 274 	 189 	 346 	  	  	 
SLC66A1 	 237 	 214 	 388 	  	  	 
CAPZB 	 1146 	 1020 	 990 	  	  	 
LOC124903868 	 1 	 0 	 3 	  	  	 
LOC124903869 	 0 	 2 	 1 	  	  	 
LOC105376819 	 5 	 8 	 3 	  	  	 
LOC105376818 	 0 	 0 	 0 	  	  	 
LOC105376817 	 0 	 0 	 0 	  	  	 
LOC124904816 	 0 	 0 	 0 	  	  	 
